"id","reference","definition"
"1821","Hornet","<p>Heb. tsir&#39;ah, &quot;stinging&quot;, (Ex. 23:28; Deut. 7:20; Josh. 24:12). The word is used in these passages as referring to some means by which the Canaanites were to be driven out from before the Israelites. Some have supposed that the word is used in a metaphorical sense as the symbol of some panic which would seize the people as a &quot;terror of God&quot; (Gen. 35:5), the consternation with which God would inspire the Canaanites. In Palestine there are four species of hornets, differing from our hornets, being larger in size, and they are very abundant. They &quot;attack human beings in a very furious manner.&quot; &quot;The furious attack of a swarm of hornets drives cattle and horses to madness, and has even caused the death of the animals.&quot;</p>"
"1822","Horonaim","<p>Two caverns, a city of Moab to the south of the Arnon, built, apparently, upon an eminence, and a place of some importance (Isa. 15:5; Jer. 48:3, 5, 34).</p>"
"1823","Horonite","<p>The designation of Sanballat (Neh. 2:10, 19), a native of Horonaim, or of one of the two Beth-horons, the &quot;upper&quot; or the &quot;nether,&quot; mentioned in Josh. 16:3, 5.</p>"
"1824","Horse","<p>Always referred to in the Bible in connection with warlike operations, except Isa. 28:28. The war-horse is described Job 39:19-25. For a long period after their settlement in Canaan the Israelites made no use of horses, according to the prohibition, Deut. 17:16. David was the first to form a force of cavalry (2 Sam. 8:4). But Solomon, from his connection with Egypt, greatly multiplied their number (1 Kings 4:26; 10:26, 29). After this, horses were freely used in Israel (1 Kings 22:4; 2 Kings 3:7; 9:21, 33; 11:16). The furniture of the horse consisted simply of a bridle (Isa. 30:28) and a curb (Ps. 32:9).</p>"
"1825","Horsegate","<p>A gate in the wall of Jerusalem, at the west end of the bridge, leading from Zion to the temple (Neh. 3:28; Jer. 31:40).</p>"
"1826","Horseleech","<p>Occurs only in Prov. 30:15 (Heb. alukah); the generic name for any blood-sucking annelid. There are various species in the marshes and pools of Palestine. That here referred to, the Hoemopis, is remarkable for the coarseness of its bite, and is therefore not used for medical purposes. They are spoken of in the East with feelings of aversion and horror, because of their propensity to fasten on the tongue and nostrils of horses when they come to drink out of the pools. The medicinal leech (Hirudo medicinalis), besides other species of leeches, are common in the waters of Syria.</p>"
"1827","Horseman","<p>Heb. ba&#39;al parash, &quot;master of a horse.&quot; The &quot;horsemen&quot; mentioned Ex. 14:9 were &quot;mounted men&quot;, i.e., men who rode in chariots. The army of Pharaoh consisted of a chariot and infantry force. We find that at a later period, however, the Egyptians had cavalry (2 Chr. 12:3). (See [286]HORSE.)</p>"
"1828","Hosah","<p>Refuge. (1.) A place on the border of the tribe of Asher (Josh. 19:29), a little to the south of Zidon.</p><p>(2.) A Levite of the family of Merari (1 Chr. 16:38).</p>"
"1829","Hosanna","<p>Save now! or Save, we beseech, (Matt. 21:9). This was a customary form of acclamation at the feast of Tabernacles. (Comp. Ps. 118:25.)</p>"
"1830","Hose","<p>(Dan. 3:21), a tunic or undergarment.</p>"
"1831","Hosea","<p>Salvation, the son of Beeri, and author of the book of prophecies bearing his name. He belonged to the kingdom of Israel. &quot;His Israelitish origin is attested by the peculiar, rough, Aramaizing diction, pointing to the northern part of Palestine; by the intimate acquaintance he evinces with the localities of Ephraim (5:1; 6:8, 9; 12:12; 14:6, etc.); by passages like 1:2, where the kingdom is styled the land&#39;, and 7:5, where the Israelitish king is designated as our&#39; king.&quot; The period of his ministry (extending to some sixty years) is indicated in the superscription (Hos. 1:1, 2). He is the only prophet of Israel who has left any written prophecy.</p>"
"1832","Hosea, Prophecies of","<p>This book stands first in order among the &quot;Minor Prophets.&quot; &quot;The probable cause of the location of Hosea may be the thoroughly national character of his oracles, their length, their earnest tone, and vivid representations.&quot; This was the longest of the prophetic books written before the Captivity. Hosea prophesied in a dark and melancholy period of Israel&#39;s history, the period of Israel&#39;s decline and fall. Their sins had brought upon them great national disasters. &quot;Their homicides and fornication, their perjury and theft, their idolatry and impiety, are censured and satirized with a faithful severity.&quot; He was a contemporary of Isaiah. The book may be divided into two parts, the first containing chapters 1-3, and symbolically representing the idolatry of Israel under imagery borrowed from the matrimonial relation. The figures of marriage and adultery are common in the Old Testament writings to represent the spiritual relations between Jehovah and the people of Israel. Here we see the apostasy of Israel and their punishment, with their future repentance, forgiveness, and restoration.</p><p>The second part, containing 4-14, is a summary of Hosea&#39;s discourses, filled with denunciations, threatenings, exhortations, promises, and revelations of mercy.</p><p>Quotations from Hosea are found in Matt. 2:15; 9:15; 12:7; Rom. 9:25, 26. There are, in addition, various allusions to it in other places (Luke 23:30; Rev. 6:16, comp. Hos. 10:8; Rom. 9:25, 26; 1 Pet. 2:10, comp. Hos. 1:10, etc.).</p><p>As regards the style of this writer, it has been said that &quot;each verse forms a whole for itself, like one heavy toll in a funeral knell.&quot; &quot;Inversions (7:8; 9:11, 13; 12: 8), anacolutha (9:6; 12:8, etc.), ellipses (9:4; 13:9, etc.), paranomasias, and plays upon words, are very characteristic of Hosea (8:7; 9:15; 10:5; 11:5; 12:11).&quot;</p>"
"1833","Hoshea","<p>Salvation. (1.) The original name of the son of Nun, afterwards called Joshua (Num. 13:8, 16; Deut. 32:44).</p><p>(2.) 1 Chr. 27:20. The ruler of Ephraim in David&#39;s time.</p><p>(3.) The last king of Israel. He conspired against and slew his predecessor, Pekah (Isa. 7:16), but did not ascend the throne till after an interregnum of warfare of eight years (2 Kings 17:1, 2). Soon after this he submitted to Shalmaneser, the Assyrian king, who a second time invaded the land to punish Hoshea, because of his withholding tribute which he had promised to pay. A second revolt brought back the Assyrian king Sargon, who besieged Samaria, and carried the ten tribes away beyond the Euphrates, B.C. 720 (2 Kings 17:5, 6; 18:9-12). No more is heard of Hoshea. He disappeared like &quot;foam upon the water&quot; (Hos. 10:7; 13:11).</p>"
"1834","Host","<p>An entertainer (Rom. 16:23); a tavern-keeper, the keeper of a caravansary (Luke 10:35).</p><p>In warfare, a troop or military force. This consisted at first only of infantry. Solomon afterwards added cavalry (1 Kings 4:26; 10:26). Every male Israelite from twenty to fifty years of age was bound by the law to bear arms when necessary (Num. 1:3; 26:2; 2 Chr. 25:5).</p><p>Saul was the first to form a standing army (1 Sam. 13:2; 24:2). This example was followed by David (1 Chr. 27:1), and Solomon (1 Kings 4:26), and by the kings of Israel and Judah (2 Chr. 17:14; 26:11; 2 Kings 11:4, etc.).</p>"
"1835","Host of heaven","<p>The sun, moon, and stars are so designated (Gen. 2:1). When the Jews fell into idolatry they worshipped these (Deut. 4:19; 2 Kings 17:16; 21:3, 5; 23:5; Jer. 19:13; Zeph. 1:5; Acts 7:42).</p>"
"1836","Hostage","<p>A person delivered into the hands of another as a security for the performance of some promise, etc. (2 Kings 14:14; 2 Chr. 25:24).</p>"
"1837","Hough","<p>To hamstring, i.e., sever the &quot;tendon of Achilles&quot; of the hinder legs of captured horses (Josh. 11:6; 2 Sam. 8:4; 1 Chr. 18:4), so as to render them useless.</p>"
"1838","Hour","<p>First found in Dan. 3:6; 4:19, 33;5:5. It is the rendering of the Chaldee shaah, meaning a &quot;moment,&quot; a &quot;look.&quot; It is used in the New Testament frequently to denote some determinate season (Matt. 8:13; Luke 12:39).</p><p>With the ancient Hebrews the divisions of the day were &quot;morning, evening, and noon-day&quot; (Ps. 55:17, etc.). The Greeks, following the Babylonians, divided the day into twelve hours. The Jews, during the Captivity, learned also from the Babylonians this method of dividing time. When Judea became subject to the Romans, the Jews adopted the Roman mode of reckoning time. The night was divided into four watches (Luke 12:38; Matt. 14:25; 13:25). Frequent allusion is also made to hours (Matt. 25:13; 26:40, etc.). (See [287]DAY.)</p><p>An hour was the twelfth part of the day, reckoning from sunrise to sunset, and consequently it perpetually varied in length.</p>"
"1839","House","<p>Till their sojourn in Egypt the Hebrews dwelt in tents. They then for the first time inhabited cities (Gen. 47:3; Ex. 12:7; Heb. 11:9). From the earliest times the Assyrians and the Canaanites were builders of cities. The Hebrews after the Conquest took possession of the captured cities, and seem to have followed the methods of building that had been pursued by the Canaanites. Reference is made to the stone (1 Kings 7:9; Isa. 9:10) and marble (1 Chr. 29:2) used in building, and to the internal wood-work of the houses (1 Kings 6:15; 7:2; 10:11, 12; 2 Chr. 3:5; Jer. 22:14). &quot;Ceiled houses&quot; were such as had beams inlaid in the walls to which wainscotting was fastened (Ezra 6:4; Jer. 22:14; Hag. 1:4). &quot;Ivory houses&quot; had the upper parts of the walls adorned with figures in stucco with gold and ivory (1 Kings 22:39; 2 Chr. 3:6; Ps. 45:8).</p><p>The roofs of the dwelling-houses were flat, and are often alluded to in Scripture (2 Sam. 11:2; Isa. 22:1; Matt. 24:17). Sometimes tents or booths were erected on them (2 Sam. 16:22). They were protected by parapets or low walls (Deut. 22:8). On the house-tops grass sometimes grew (Prov. 19:13; 27:15; Ps. 129:6, 7). They were used, not only as places of recreation in the evening, but also sometimes as sleeping-places at night (1 Sam. 9:25, 26; 2 Sam. 11:2; 16:22; Dan. 4:29; Job 27:18; Prov. 21:9), and as places of devotion (Jer. 32:29; 19:13).</p>"
"1840","Hukkok","<p>Decreed, a town near Zebulun, not far from Jordan, on the border of Naphtali (Josh. 19:34). (See [288]HELKATH.)</p>"
"1841","Hul","<p>Circle, the second son of Aram (Gen. 10:23), and grandson of Shem.</p>"
"1842","Huldah","<p>Weasel, a prophetess; the wife of Shallum. She was consulted regarding the &quot;book of the law&quot; discovered by the high priest Hilkiah (2 Kings 22:14-20; 2 Chr. 34:22-28). She resided in that part of Jerusalem called the Mishneh (A.V., &quot;the college;&quot; R.V., &quot;the second quarter&quot;), supposed by some to be the suburb between the inner and the outer wall, the second or lower city, Akra. Miriam (Ex. 15:20) and Deborah (Judg. 4:4) are the only others who bear the title of &quot;prophetess,&quot; for the word in Isa. 8:3 means only the prophet&#39;s wife.</p>"
"1843","Humiliation of Christ","<p>(Phil. 2:8), seen in (1) his birth (Gal. 4:4; Luke 2:7; John 1:46; Heb. 2:9), (2) his circumstances, (3) his reputation (Isa. 53; Matt. 26:59, 67; Ps. 22:6; Matt. 26:68), (4) his soul (Ps. 22:1; Matt. 4:1-11; Luke 22:44; Heb. 2:17, 18; 4:15), (5) his death (Luke 23; John 19; Mark 15:24, 25), (6) and his burial (Isa. 53:9; Matt. 27:57, 58, 60).</p><p>His humiliation was necessary (1) to execute the purpose of God (Acts 2:23, 24; Ps. 40:6-8), (2) fulfil the Old Testament types and prophecies, (3) satisfy the law in the room of the guilty (Isa. 53; Heb. 9:12, 15), procure for them eternal redemption, (4) and to show us an example.</p>"
"1844","Humility","<p>A prominent Christian grace (Rom. 12:3; 15:17, 18; 1 Cor. 3:5-7; 2 Cor. 3:5; Phil. 4:11-13). It is a state of mind well pleasing to God (1 Pet. 3:4); it preserves the soul in tranquillity (Ps. 69:32, 33), and makes us patient under trials (Job 1:22).</p><p>Christ has set us an example of humility (Phil. 2:6-8). We should be led thereto by a remembrance of our sins (Lam. 3:39), and by the thought that it is the way to honour (Prov. 16:18), and that the greatest promises are made to the humble (Ps. 147:6; Isa. 57:15; 66:2; 1 Pet. 5:5). It is a &quot;great paradox in Christianity that it makes humility the avenue to glory.&quot;</p>"
"1845","Hunting","<p>Mentioned first in Gen. 10:9 in connection with Nimrod. Esau was &quot;a cunning hunter&quot; (Gen. 25:27). Hunting was practised by the Hebrews after their settlement in the &quot;Land of Promise&quot; (Lev. 17:15; Prov. 12:27). The lion and other ravenous beasts were found in Palestine (1 Sam. 17:34; 2 Sam. 23:20; 1 Kings 13:24; Ezek. 19:3-8), and it must have been necessary to hunt and destroy them. Various snares and gins were used in hunting (Ps. 91:3; Amos 3:5; 2 Sam. 23:20).</p><p>War is referred to under the idea of hunting (Jer. 16:16; Ezek. 32:30).</p>"
"1846","Hur","<p>A hole, as of a viper, etc. (1.) A son of Caleb (1 Chr. 2:19, 50; 4:1, 4; comp. 2 Chr. 1:5).</p><p>(2.) The husband of Miriam, Moses&#39; sister (Ex. 17:10-12). He was associated with Aaron in charge of the people when Moses was absent on Sinai (Ex. 24:14). He was probably of the tribe of Judah, and grandfather of Bezaleel (Ex. 31:2; 35:30; 1 Chr. 2:19).</p><p>(3.) One of the five princes of Midian who were defeated and slain by the Israelites under the command of Phinehas (Num. 31:8).</p>"
"1847","Hurai","<p>Linen-worker, one of David&#39;s heroes, a native of the valley of Mount Gaash (1 Chr. 11:32).</p>"
"1848","Husband","<p>I.e., the &quot;house-band,&quot; connecting and keeping together the whole family. A man when betrothed was esteemed from that time a husband (Matt. 1:16, 20; Luke 2:5). A recently married man was exempt from going to war for &quot;one year&quot; (Deut. 20:7; 24:5).</p>"
"1849","Husbandman","<p>One whose business it is to cultivate the ground. It was one of the first occupations, and was esteemed most honourable (Gen. 9:20; 26:12, 14; 37:7, etc.). All the Hebrews, except those engaged in religious services, were husbandmen. (See [289]AGRICULTURE.)</p>"
"1850","Hushai","<p>Quick, &quot;the Archite,&quot; &quot;the king&#39;s friend&quot; (1 Chr. 27:33). When David fled from Jerusalem, on account of the rebellion of Absalom, and had reached the summit of Olivet, he there met Hushai, whom he sent back to Jerusalem for the purpose of counteracting the influence of Ahithophel, who had joined the ranks of Absalom (2 Sam. 15:32, 37; 16:16-18). It was by his advice that Absalom refrained from immediately pursuing after David. By this delay the cause of Absalom was ruined, for it gave David time to muster his forces.</p>"
"1851","Husk","<p>In Num. 6:4 (Heb. zag) it means the &quot;skin&quot; of a grape. In 2 Kings 4:42 (Heb. tsiqlon) it means a &quot;sack&quot; for grain, as rendered in the Revised Version. In Luke 15:16, in the parable of the Prodigal Son, it designates the beans of the carob tree, or Ceratonia siliqua. From the supposition, mistaken, however, that it was on the husks of this tree that John the Baptist fed, it is called &quot;St. John&#39;s bread&quot; and &quot;locust tree.&quot; This tree is in &quot;February covered with innumerable purple-red pendent blossoms, which ripen in April and May into large crops of pods from 6 to 10 inches long, flat, brown, narrow, and bent like a horn (whence the Greek name keratia, meaning little horns&#39;), with a sweetish taste when still unripe. Enormous quantities of these are gathered for sale in various towns and for exportation.&quot; &quot;They were eaten as food, though only by the poorest of the poor, in the time of our Lord.&quot; The bean is called a &quot;gerah,&quot; which is used as the name of the smallest Hebrew weight, twenty of these making a shekel.</p>"
"1852","Hymn","<p>Occurs only Eph. 5:19 and Col. 3:16. The verb to &quot;sing an hymn&quot; occurs Matt. 26:30 and Mark 14:26. The same Greek word is rendered to &quot;sing praises&quot; Acts 16:25 (R.V., &quot;sing hymns&quot;) and Heb. 2:12. The &quot;hymn&quot; which our Lord sang with his disciples at the last Supper is generally supposed to have been the latter part of the Hallel, comprehending Ps. 113-118. It was thus a name given to a number of psalms taken together and forming a devotional exercise.</p><p>The noun hymn is used only with reference to the services of the Greeks, and was distinguished from the psalm. The Greek tunes required Greek hymns. Our information regarding the hymnology of the early Christians is very limited.</p>"
"1853","Hypocrite","<p>One who puts on a mask and feigns himself to be what he is not; a dissembler in religion. Our Lord severely rebuked the scribes and Pharisees for their hypocrisy (Matt. 6:2, 5, 16). &quot;The hypocrite&#39;s hope shall perish&quot; (Job 8:13). The Hebrew word here rendered &quot;hypocrite&quot; rather means the &quot;godless&quot; or &quot;profane,&quot; as it is rendered in Jer. 23:11, i.e., polluted with crimes.</p>"
"1854","Hyssop","<p>(Heb. ezob; LXX. hyssopos), first mentioned in Ex. 12:22 in connection with the institution of the Passover. We find it afterwards mentioned in Lev. 14:4, 6, 52; Num. 19:6, 18; Heb. 9:19. It is spoken of as a plant &quot;springing out of the wall&quot; (1 Kings 4:33). Many conjectures have been formed as to what this plant really was. Some contend that it was a species of marjoram (origanum), six species of which are found in Palestine. Others with more probability think that it was the caper plant, the Capparis spinosa of Linnaeus. This plant grew in Egypt, in the desert of Sinai, and in Palestine. It was capable of producing a stem three or four feet in length (Matt. 27:48; Mark 15:36. Comp. John 19:29).</p>"
"1855","Ibhar","<p>Ibhar - Chosen, one of David&#39;s sons (1 Chr. 3:6; 2 Sam. 5:15).</p>"
"1856","Ibleam","<p>People-waster, a city assigned to Manasseh (Josh. 17:11), from which the Israelites, however, could not expel the Canaanites (Judg. 1:27). It is also called Bileam (1 Chr. 6:70). It was probably the modern Jelamah, a village 2 1/2 miles north of Jenin.</p>"
"1857","Ibzan","<p>Illustrious, the tenth judge of Israel (Judg. 12:8-10). He ruled seven years.</p>"
"1858","Ice","<p>Frequently mentioned (Job 6:16; 38:29; Ps. 147:17, etc.). (See [290]CRYSTAL.)</p>"
"1859","Ichabod","<p>When the tidings of the disastrous defeat of the Israelites in the battle against the Philistines near to Mizpeh were carried to Shiloh, the wife of Phinehas &quot;was near to be delivered. And when she heard the tidings that the ark of God was taken, and that her father-in-law and her husband were dead, she bowed herself and travailed&quot; (1 Sam. 4:19-22). In her great distress she regarded not &quot;the women that stood by her,&quot; but named the child that was born &quot;Ichabod&quot; i.e., no glory, saying, &quot;The glory is departed from Isreal;&quot; and with that word on her lips she expired.</p>"
"1860","Iconium","<p>The capital of ancient Lycaonia. It was first visited by Paul and Barnabas from Antioch-in-Pisidia during the apostle&#39;s first missionary journey (Acts 13:50, 51). Here they were persecuted by the Jews, and being driven from the city, they fled to Lystra. They afterwards returned to Iconium, and encouraged the church which had been founded there (14:21, 22). It was probably again visited by Paul during his third missionary journey along with Silas (18:23). It is the modern Konieh, at the foot of Mount Taurus, about 120 miles inland from the Mediterranean.</p>"
"1861","Idalah","<p>Snares(?), a city near the west border of Zebulun (Josh. 19:15). It has been identified with the modern Jeida, in the valley of Kishon.</p>"
"1862","Iddo","<p>(1.) Timely (1 Chr. 6:21). A Gershonite Levite.</p><p>(2.) Lovely. The son of Zechariah (1 Chr. 27:21), the ruler of Manasseh in David&#39;s time.</p><p>(3.) Timely. The father of Ahinadab, who was one of Solomon&#39;s purveyors (1 Kings 4:14).</p><p>(4.) Lovely. A prophet of Judah who wrote the history of Rehoboam and Abijah (2 Chr. 12:15). He has been identified with Oded (2 Chr. 15:1).</p><p>(5.) Lovely. The father of Berachiah, and grandfather of the prophet Zechariah (Zech. 1:1, 7). He returned from Babylon (Neh. 12:4).</p>"
"1863","Idol","<p>(1.) Heb. aven, &quot;nothingness;&quot; &quot;vanity&quot; (Isa. 66:3; 41:29; Deut. 32:21; 1 Kings 16:13; Ps. 31:6; Jer. 8:19, etc.).</p><p>(2.) Elil, &quot;a thing of naught&quot; (Ps. 97:7; Isa. 19:3); a word of contempt, used of the gods of Noph (Ezek. 30:13).</p><p>(3.) Emah, &quot;terror,&quot; in allusion to the hideous form of idols (Jer. 50:38).</p><p>(4.) Miphletzeth, &quot;a fright;&quot; &quot;horror&quot; (1 Kings 15:13; 2 Chr. 15:16).</p><p>(5.) Bosheth, &quot;shame;&quot; &quot;shameful thing&quot; (Jer. 11:13; Hos. 9:10); as characterizing the obscenity of the worship of Baal.</p><p>(6.) Gillulim, also a word of contempt, &quot;dung;&quot; &quot;refuse&quot; (Ezek. 16:36; 20:8; Deut. 29:17, marg.).</p><p>(7.) Shikkuts, &quot;filth;&quot; &quot;impurity&quot; (Ezek. 37:23; Nah. 3:6).</p><p>(8.) Semel, &quot;likeness;&quot; &quot;a carved image&quot; (Deut. 4:16).</p><p>(9.) Tselem, &quot;a shadow&quot; (Dan. 3:1; 1 Sam. 6:5), as distinguished from the &quot;likeness,&quot; or the exact counterpart.</p><p>(10.) Temunah, &quot;similitude&quot; (Deut. 4:12-19). Here Moses forbids the several forms of Gentile idolatry.</p><p>(11.) Atsab, &quot;a figure;&quot; from the root &quot;to fashion,&quot; &quot;to labour;&quot; denoting that idols are the result of man&#39;s labour (Isa. 48:5; Ps. 139:24, &quot;wicked way;&quot; literally, as some translate, &quot;way of an idol&quot;).</p><p>(12.) Tsir, &quot;a form;&quot; &quot;shape&quot; (Isa. 45:16).</p><p>(13.) Matztzebah, a &quot;statue&quot; set up (Jer. 43:13); a memorial stone like that erected by Jacob (Gen. 28:18; 31:45; 35:14, 20), by Joshua (4:9), and by Samuel (1 Sam. 7:12). It is the name given to the statues of Baal (2 Kings 3:2; 10:27).</p><p>(14.) Hammanim, &quot;sun-images.&quot; Hamman is a synonym of Baal, the sun-god of the Phoenicians (2 Chr. 34:4, 7; 14:3, 5; Isa. 17:8).</p><p>(15.) Maskith, &quot;device&quot; (Lev. 26:1; Num. 33:52). In Lev. 26:1, the words &quot;image of stone&quot; (A.V.) denote &quot;a stone or cippus with the image of an idol, as Baal, Astarte, etc.&quot; In Ezek. 8:12, &quot;chambers of imagery&quot; (maskith), are &quot;chambers of which the walls are painted with the figures of idols;&quot; comp. ver. 10, 11.</p><p>(16.) Pesel, &quot;a graven&quot; or &quot;carved image&quot; (Isa. 44:10-20). It denotes also a figure cast in metal (Deut. 7:25; 27:15; Isa. 40:19; 44:10).</p><p>(17.) Massekah, &quot;a molten image&quot; (Deut. 9:12; Judg. 17:3, 4).</p><p>(18.) Teraphim, pl., &quot;images,&quot; family gods (penates) worshipped by Abram&#39;s kindred (Josh. 24:14). Put by Michal in David&#39;s bed (Judg. 17:5; 18:14, 17, 18, 20; 1 Sam. 19:13).</p><p>&quot;Nothing can be more instructive and significant than this multiplicity and variety of words designating the instruments and inventions of idolatry.&quot;</p>"
"1864","Idolatry","<p>Image-worship or divine honour paid to any created object. Paul describes the origin of idolatry in Rom. 1:21-25: men forsook God, and sank into ignorance and moral corruption (1:28).</p><p>The forms of idolatry are, (1.) Fetishism, or the worship of trees, rivers, hills, stones, etc.</p><p>(2.) Nature worship, the worship of the sun, moon, and stars, as the supposed powers of nature.</p><p>(3.) Hero worship, the worship of deceased ancestors, or of heroes.</p><p>In Scripture, idolatry is regarded as of heathen origin, and as being imported among the Hebrews through contact with heathen nations. The first allusion to idolatry is in the account of Rachel stealing her father&#39;s teraphim (Gen. 31:19), which were the relics of the worship of other gods by Laban&#39;s progenitors &quot;on the other side of the river in old time&quot; (Josh. 24:2). During their long residence in Egypt the Hebrews fell into idolatry, and it was long before they were delivered from it (Josh. 24:14; Ezek. 20:7). Many a token of God&#39;s displeasure fell upon them because of this sin.</p><p>The idolatry learned in Egypt was probably rooted out from among the people during the forty years&#39; wanderings; but when the Jews entered Palestine, they came into contact with the monuments and associations of the idolatry of the old Canaanitish races, and showed a constant tendency to depart from the living God and follow the idolatrous practices of those heathen nations. It was their great national sin, which was only effectually rebuked by the Babylonian exile. That exile finally purified the Jews of all idolatrous tendencies.</p><p>The first and second commandments are directed against idolatry of every form. Individuals and communities were equally amenable to the rigorous code. The individual offender was devoted to destruction (Ex. 22:20). His nearest relatives were not only bound to denounce him and deliver him up to punishment (Deut. 13:20-10), but their hands were to strike the first blow when, on the evidence of two witnesses at least, he was stoned (Deut. 17:2-7). To attempt to seduce others to false worship was a crime of equal enormity (13:6-10). An idolatrous nation shared the same fate. No facts are more strongly declared in the Old Testament than that the extermination of the Canaanites was the punishment of their idolatry (Ex. 34:15, 16; Deut. 7; 12:29-31; 20:17), and that the calamities of the Israelites were due to the same cause (Jer. 2:17). &quot;A city guilty of idolatry was looked upon as a cancer in the state; it was considered to be in rebellion, and treated according to the laws of war. Its inhabitants and all their cattle were put to death.&quot; Jehovah was the theocratic King of Israel, the civil Head of the commonwealth, and therefore to an Israelite idolatry was a state offence (1 Sam. 15:23), high treason. On taking possession of the land, the Jews were commanded to destroy all traces of every kind of the existing idolatry of the Canaanites (Ex. 23:24, 32; 34:13; Deut. 7:5, 25; 12:1-3).</p><p>In the New Testament the term idolatry is used to designate covetousness (Matt. 6:24; Luke 16:13; Col. 3:5; Eph. 5:5).</p>"
"1865","Idumaea","<p>The Greek form of Edom (Isa. 34:5, 6; Ezek. 35:15; 36:5, but in R.V. &quot;Edom&quot;). (See [291]EDOM).</p>"
"1866","Igal","<p>Avengers. (1.) Num. 13:7, one of the spies of the tribe of Issachar. (2.) Son of Nathan of Zobah, and one of David&#39;s warriors (2 Sam. 23:36). (3.) 1 Chr. 3:22.</p>"
"1867","Iim","<p>Ruins. (1.) A city in the south of Judah (Josh. 15:29).</p><p>(2.) One of the stations of the Israelites in the wilderness (Num. 33:45).</p>"
"1868","Ijeabarim","<p>Ruins of Abarim, the forty-seventh station of the Israelites in the wilderness, &quot;in the border of Moab&quot; (Num. 33:44).</p>"
"1869","Ijon","<p>A ruin, a city of Naphtali, captured by Ben-hadad of Syria at the instance of Asa (1 Kings 15:20), and afterwards by Tiglath-pileser of Assyria (2 Kings 15:29) in the reign of Pekah; now el-Khiam.</p>"
"1870","Ilai","<p>An Ahohite, one of David&#39;s chief warriors (1 Chr. 11:29); called also Zalmon (2 Sam. 23:28).</p>"
"1871","Illyricum","<p>A country to the north-west of Macedonia, on the eastern shores of the Adriatic, now almost wholly comprehended in Dalmatia, a name formerly given to the southern part of Illyricum (2 Tim. 4:10). It was traversed by Paul in his third missionary journey (Rom. 15:19). It was the farthest district he had reached in preaching the gospel of Christ. This reference to Illyricum is in harmony with Acts 20:2, inasmuch as the apostle&#39;s journey over the parts of Macedonia would bring him to the borders of Illyricum.</p>"
"1872","Imagery","<p>Only in the phrase &quot;chambers of his imagery&quot; (Ezek. 8:12). (See [292]CHAMBER.)</p>"
"1873","Imla","<p>Replenisher, the father of Micaiah the prophet (2 Chr. 18:7, 8).</p>"
"1874","Immanuel","<p>God with us. In the Old Testament it occurs only in Isa. 7:14 and 8:8. Most Christian interpreters have regarded these words as directly and exclusively a prophecy of our Saviour, an interpretation borne out by the words of the evangelist Matthew (1:23).</p>"
"1875","Immer","<p>Talkative. (1.) The head of the sixteenth priestly order (1 Chr. 24:14). (2.) Jer. 20:1. (3.) Ezra 2:37; Neh. 7:40. (4.) Ezra 2:59; Neh. 7:61. (5.) The father of Zadok (Neh. 3:29).</p>"
"1876","Immortality","<p>Perpetuity of existence. The doctrine of immortality is taught in the Old Testament. It is plainly implied in the writings of Moses (Gen. 5:22, 24; 25:8; 37:35; 47:9; 49:29, comp. Heb. 11:13-16; Ex. 3:6, comp. Matt. 22:23). It is more clearly and fully taught in the later books (Isa. 14:9; Ps. 17:15; 49:15; 73:24). It was thus a doctrine obviously well known to the Jews.</p><p>With the full revelation of the gospel this doctrine was &quot;brought to light&quot; (2 Tim. 1:10; 1 Cor. 15; 2 Cor. 5:1-6; 1 Thess. 4:13-18).</p>"
"1877","Imputation","<p>Is used to designate any action or word or thing as reckoned to a person. Thus in doctrinal language (1) the sin of Adam is imputed to all his descendants, i.e., it is reckoned as theirs, and they are dealt with therefore as guilty; (2) the righteousness of Christ is imputed to them that believe in him, or so attributed to them as to be considered their own; and (3) our sins are imputed to Christ, i.e., he assumed our &quot;law-place,&quot; undertook to answer the demands of justice for our sins. In all these cases the nature of imputation is the same (Rom. 5:12-19; comp. Philemon 1:18, 19).</p>"
"1878","Incarnation","<p>That act of grace whereby Christ took our human nature into union with his Divine Person, became man. Christ is both God and man. Human attributes and actions are predicated of him, and he of whom they are predicated is God. A Divine Person was united to a human nature (Acts 20:28; Rom. 8:32; 1 Cor. 2:8; Heb. 2:11-14; 1 Tim. 3:16; Gal. 4:4, etc.). The union is hypostatical, i.e., is personal; the two natures are not mixed or confounded, and it is perpetual.</p>"
"1879","Incense","<p>A fragrant composition prepared by the &quot;art of the apothecary.&quot; It consisted of four ingredients &quot;beaten small&quot; (Ex. 30:34-36). That which was not thus prepared was called &quot;strange incense&quot; (30:9). It was offered along with every meat-offering; and besides was daily offered on the golden altar in the holy place, and on the great day of atonement was burnt by the high priest in the holy of holies (30:7, 8). It was the symbol of prayer (Ps. 141:1, 2; Rev. 5:8; 8:3, 4).</p>"
"1880","India","<p>Occurs only in Esther 1:1 and 8:9, where the extent of the dominion of the Persian king is described. The country so designated here is not the peninsula of Hindustan, but the country surrounding the Indus, the Punjab. The people and the products of India were well known to the Jews, who seem to have carried on an active trade with that country (Ezek. 27:15, 24).</p>"
"1881","Inkhorn","<p>The Hebrew word so rendered means simply a round vessel or cup for containing ink, which was generally worn by writers in the girdle (Ezek. 9:2, 3, 11). The word &quot;inkhorn&quot; was used by the translators, because in former times in this country horns were used for containing ink.</p>"
