"id","chapter","verse","note"
"4368","Proverbs 29","4","he that receiveth gifts: Heb. a man of oblations
"
"4369","Proverbs 29","8","bring a city into a snare: Or, set a city on fire
"
"4370","Proverbs 29","10","The bloodthirsty: Heb. men of blood
"
"4371","Proverbs 29","13","the deceitful man: Or, the usurer
"
"4372","Proverbs 29","18","perish: Or, is made naked
"
"4373","Proverbs 29","20","in his words?: Or, in his matters?
"
"4374","Proverbs 29","25","shall be safe: Heb. shall be set on high
"
"4375","Proverbs 29","26","the rulers favor: Heb. the face of a ruler
"
"4376","Proverbs 30","3","have: Heb. know
"
"4377","Proverbs 30","5","is pure: Heb. purified
"
"4378","Proverbs 30","7","deny me them not: Heb. withhold not from me
"
"4379","Proverbs 30","8","convenient for me: Heb. of my allowance
"
"4380","Proverbs 30","9","deny thee: Heb. belie thee
"
"4381","Proverbs 30","10","Accuse not: Heb. hurt not with thy tongue
"
"4382","Proverbs 30","10","It is enough: Heb. wealth
"
"4383","Proverbs 30","17","the valley: Or, the brook
"
"4384","Proverbs 30","19","midst: Heb. heart
"
"4385","Proverbs 30","24","exceeding wise: Heb. wise made wise
"
"4386","Proverbs 30","27","by bands: Heb. gathered together
"
"4387","Proverbs 30","31","A greyhound: Or, horse. Heb. girt in the loins
"
"4388","Proverbs 31","5","pervert: Heb. alter
"
"4389","Proverbs 31","5","of any of the afflicted: Heb. of all of the sons of affliction
"
"4390","Proverbs 31","6","of heavy hearts: Heb. bitter of soul
"
"4391","Proverbs 31","8","appointed to destruction: Heb. the sons of destruction
"
"4392","Proverbs 31","16","buyeth: Heb. taketh
"
"4393","Proverbs 31","18","She perceiveth: Heb. she tasteth
"
"4394","Proverbs 31","20","She stretched out: Heb. she spreadeth
"
"4395","Proverbs 31","21","scarlet: Or, double garments
"
"4396","Proverbs 31","29","have done virtuously: Or, have gotten riches
"
"4397","Ecclesiastes 1","5","hasteth: Heb. panteth
"
"4398","Ecclesiastes 1","7","return again: Heb. return to go
"
"4399","Ecclesiastes 1","13","to be exercised therewith: Or, to afflict them
"
"4400","Ecclesiastes 1","15","that which is wanting: Heb. defect
"
"4401","Ecclesiastes 1","16","had great experience: Heb. had seen much
"
"4402","Ecclesiastes 2","3","to give myself unto wine: Heb. to draw my flesh with wine
"
"4403","Ecclesiastes 2","3","all the days of their life: Heb. the number of the days of their life
"
"4404","Ecclesiastes 2","7","servants born in my house: Heb. sons of my house
"
"4405","Ecclesiastes 2","8","as musical instruments: , and that of all sorts: Heb. musical instrument, and instruments
"
"4406","Ecclesiastes 2","12","even that which hath been already done: Or, in those things which have been already done
"
"4407","Ecclesiastes 2","13","that wisdom excelleth folly: Heb. that there is an excellency in Wisdom more then in folly, etc
"
"4408","Ecclesiastes 2","15","happeneth even to me: Heb. happeneth to me, even to me
"
"4409","Ecclesiastes 2","18","taken: Heb. laboured
"
"4410","Ecclesiastes 2","21","leave: Heb. give
"
"4411","Ecclesiastes 2","24","should make his soul enjoy: Or, delight his senses
"
"4412","Ecclesiastes 2","26","in his sight: Heb. before him
"
"4413","Ecclesiastes 3","1","to be born: Heb. to bear
"
"4414","Ecclesiastes 3","5","to refrain: Heb. to be far from
"
"4415","Ecclesiastes 3","6","get: Or, seek
"
"4416","Ecclesiastes 3","15","that which is past: Heb. that which is driven away
"
"4417","Ecclesiastes 3","18","that God might manifest them: Or, that they might clear God, and see, etc.
"
"4418","Ecclesiastes 3","21","of man: Heb. of the sons of man
"
"4419","Ecclesiastes 3","21","goeth upward: Heb. is ascending
"
"4420","Ecclesiastes 4","1","side: Heb. hand
"
"4421","Ecclesiastes 4","4","every right work: Heb. all the rightness of work
"
"4422","Ecclesiastes 4","4","for this a man is envied of his neighbour: Heb. this is the envy of a man from his neighbour
"
"4423","Ecclesiastes 4","13","who will no more be admonished: Heb. who knoweth not to be admonished
"
"4424","Ecclesiastes 5","2","thing: Or, word
"
"4425","Ecclesiastes 5","8","at the matter: Heb. at the will or purpose
"
"4426","Ecclesiastes 5","18","it is good and comely: Heb. there is a good which is comely, etc.
"
"4427","Ecclesiastes 5","18","all the days of his life: Heb. the number of the days
"
"4428","Ecclesiastes 5","18",": Or, though he give not much, yet he remembreth etc.
"
"4429","Ecclesiastes 6","7","appetite: Heb. soul
"
"4430","Ecclesiastes 6","9","then the wandering of the desire: Heb. then the walking of the soul
"
"4431","Ecclesiastes 6","12","all the days of his vain life: Heb. the number of the days of the life of his vanity
"
"4432","Ecclesiastes 7","3","Sorrow: Or, anger
"
"4433","Ecclesiastes 7","6","crackling: Heb. sound
"
"4434","Ecclesiastes 7","10","wisely: Heb. out of wisdom
"
"4435","Ecclesiastes 7","11","is good with an inheritance: Or, as good as an inheritance, yea, better too
"
"4436","Ecclesiastes 7","12","defence: Heb. shadow
"
"4437","Ecclesiastes 7","14","set: Heb. made
"
"4438","Ecclesiastes 7","16","destroy thyself?: Heb. be desolate?
"
"4439","Ecclesiastes 7","17","before thy time? Heb. not in thy time?
"
"4440","Ecclesiastes 7","21","take no heed: Heb. give not thine heart
"
"4441","Ecclesiastes 7","25","I applied mine heart: Heb. I and mine heart compassed
"
"4442","Ecclesiastes 7","26","who so pleaseth God: He that is good before God
"
"4443","Ecclesiastes 7","27","counting one by one to find out the account: Or, weighing one thing after another to find out the reason
"
"4444","Ecclesiastes 8","1","the boldness: Heb. the strength
"
"4445","Ecclesiastes 8","5","shall feel: Heb. shall know
"
"4446","Ecclesiastes 8","7","when it shall be?: Or, how it shall be?
"
"4447","Ecclesiastes 8","8","discharge: Or, casting of weapons
"
"4448","Ecclesiastes 9","1","I considered in my heart: Heb. I gave, or set to my heart
"
"4449","Ecclesiastes 9","9","Live joyfully: Heb. see, or enjoy life
"
"4450","Ecclesiastes 10","1","Dead flies: Heb. Flies of death
"
"4451","Ecclesiastes 10","3","his wisdom: Heb. his heart
"
"4452","Ecclesiastes 10","5","from: Heb. from before
"
"4453","Ecclesiastes 10","6","in great dignity: Heb. in great heights
"
"4454","Ecclesiastes 10","11","a babbler: Heb. the master of the tongue
"
"4455","Ecclesiastes 10","12","gracious: Heb. grace
"
"4456","Ecclesiastes 10","13","his talk: Heb. his mouth
"
"4457","Ecclesiastes 10","14","is full of words: Heb. multiplieth words
"
"4458","Ecclesiastes 10","19","merry: Heb. maketh glad the life
"
"4459","Ecclesiastes 10","20","thought: Or, conscience
"
"4460","Ecclesiastes 11","1","upon the waters: Heb. upon the face of the waters
"
"4461","Ecclesiastes 11","6","shall prosper: Heb. shall be right
"
"4462","Ecclesiastes 11","10","sorrow: Or, anger
"
"4463","Ecclesiastes 12","3","the grinders cease, because they are few: Or, the grinders fail, because they grind little
"
"4464","Ecclesiastes 12","9","moreover, because the preacher was wise: Or, the more wise the preacher was, etc.
"
"4465","Ecclesiastes 12","10","acceptable words: Heb. words of delight
"
"4466","Ecclesiastes 12","12","study: Or, reading
"
"4467","Ecclesiastes 12","13","Let us hear the conclusion of the whole matter: Or, the end of the matter, even all that hath been heard, is
"
"4468","Song of Solomon 1","2","thy Love: Heb. thy loves
"
"4469","Song of Solomon 1","4","the upright love thee: Or, they love thee uprightly
"
"4470","Song of Solomon 1","7","as one that turneth aside: Or, as one that is vailed
"
"4471","Song of Solomon 1","14","Camphire: Or, Cypress
"
"4472","Song of Solomon 1","15","my love: Or, my companion
"
"4473","Song of Solomon 1","17","rafters: Or, galleries
"
"4474","Song of Solomon 2","3","I sat down under his shadow with great delight: Heb. I delighted and sat down, etc.
"
"4475","Song of Solomon 2","3","taste: Heb. palate
"
"4476","Song of Solomon 2","4","banqueting house: Heb. house of wine
"
"4477","Song of Solomon 2","5","comfort me with apples: Heb. straw me with apples
"
"4478","Song of Solomon 2","7","I charge you: Heb. I adjure you
"
"4479","Song of Solomon 2","9","shewing himself: Heb. flourishing
"
"4480","Song of Solomon 2","17","of Bether: Or, of division
"
"4481","Song of Solomon 3","9","a chariot: Or, a bed
"
"4482","Song of Solomon 4","1","that appear: Or, that eat of, etc.
"
"4483","Song of Solomon 4","6","break: Heb. breathe
"
"4484","Song of Solomon 4","9","ravished: Or, taken away my heart
"
"4485","Song of Solomon 4","12","enclosed: Heb. barred
"
"4486","Song of Solomon 4","13","Camphire: Or, Cypress
"
"4487","Song of Solomon 5","1","yea drink abundantly, O beloved!: Or, and be drunken with loves
"
"4488","Song of Solomon 5","4","for him: Or, (as some read) in me
"
"4489","Song of Solomon 5","5","sweet smelling: Heb. passing, or running about
"
"4490","Song of Solomon 5","8","that: Heb. what
"
"4491","Song of Solomon 5","10","the chiefest: Heb. a standard bearer
"
"4492","Song of Solomon 5","11","bushy: Or, curled
"
"4493","Song of Solomon 5","12","fitly set: Heb. sitting in fullness, that is fitly placed, and set as a precious stone in the foil of a ring
"
"4494","Song of Solomon 5","13","sweet flowers: Or, towers of perfumes
"
"4495","Song of Solomon 5","16","his mouth: Heb. his palate
"
"4496","Song of Solomon 6","5","overcome me: Or, they have puffed me up
"
"4497","Song of Solomon 6","12","or ever I was aware: Heb. I knew not
"
"4498","Song of Solomon 6","12","made me like the chariots of Amminadab: Or, set me on the chariot of my willing people
"
"4499","Song of Solomon 6","13","of two armies: Or of Mahanaim
"
"4500","Song of Solomon 7","2","liquor: Heb. mixture
"
"4501","Song of Solomon 7","5","Carmel: Or, crimson
"
"4502","Song of Solomon 7","5","held: Heb. bound
"
"4503","Song of Solomon 7","9","sweetly: Heb. straightly
"
"4504","Song of Solomon 7","9","of those that are asleep: Or, of the ancient
"
"4505","Song of Solomon 7","12","appear: Heb. open
"
"4506","Song of Solomon 8","1","I should not be despised: Heb. they should not despise me
"
"4507","Song of Solomon 8","4","that ye stir not up: Heb. why should ye stir up, or why, etc.?
"
"4508","Song of Solomon 8","6","cruel: Heb. hard
"
"4509","Song of Solomon 8","10","favour: Heb. peace
"
"4510","Song of Solomon 8","14","make haste: Heb. flee away
"
"4511","Isaiah 1","4","laden: Heb. of heaviness
"
"4512","Isaiah 1","4","gone away backward: Heb. alienated, or seperated
"
"4513","Isaiah 1","5","revolt more and more: Heb. increase revolt
"
"4514","Isaiah 1","6","ointment: Or, oil
"
"4515","Isaiah 1","7","as overthrown by strangers: Heb. as the overthrow of strangers
"
"4516","Isaiah 1","11","he goats: Heb. great he goats
"
"4517","Isaiah 1","12","to appear: Heb. to be seen
"
"4518","Isaiah 1","13","iniquity: Or, grief
"
"4519","Isaiah 1","15","make many prayers: Heb. multiply prayer
"
"4520","Isaiah 1","15","blood: Heb. bloods
"
"4521","Isaiah 1","17","relieve: Or, righten
"
"4522","Isaiah 1","25","purely: Heb. according to pureness
"
"4523","Isaiah 1","27","her converts: Or, they that return of her
"
"4524","Isaiah 1","28","destruction: Heb. breaking
"
"4525","Isaiah 1","31","and the maker: Or, and his work
"
"4526","Isaiah 2","2","established: Or, prepared
"
"4527","Isaiah 2","4","pruninghooks: Or, scythes
"
"4528","Isaiah 2","6","from the East: Or, more then the East
"
"4529","Isaiah 2","6","please themselves in the children: Or, abound with the children. etc.
"
"4530","Isaiah 2","16","pleasant pictures: Heb. pictures of desire
"
"4531","Isaiah 2","18","the idols he shall utterly abolish: Or, the idols shall utterly pass away
"
"4532","Isaiah 2","19","the earth: Heb. the dust
"
"4533","Isaiah 2","20","his idols of silver: Heb. the idols of his silver, etc.
"
"4534","Isaiah 2","20","which they made each one for himself: Or, which they made for him
"
"4535","Isaiah 3","3","the honourable man: Heb. a man eminent in countenance
"
"4536","Isaiah 3","3","eloquent orator: Or, skillfull of speech
"
"4537","Isaiah 3","7","shall he swear: Heb. lift up the hand
"
"4538","Isaiah 3","7","healer: Heb. binder up
"
"4539","Isaiah 3","11","given him: Heb. done to him
"
"4540","Isaiah 3","12","they which lead thee: Or, they which call thee blessed
"
"4541","Isaiah 3","12","destroy: Heb. swallow up
"
"4542","Isaiah 3","14","eaten: Or, burnt
"
"4543","Isaiah 3","16","wanton eyes: Heb. deceiving with their eyes
"
"4544","Isaiah 3","16","mincing: Or, tripping nicely
"
"4545","Isaiah 3","17","discover: Heb. make naked
"
"4546","Isaiah 3","18","cauls: Or, networks
"
"4547","Isaiah 3","19","chains: Or, sweet balls
"
"4548","Isaiah 3","19","mufflers: Or, spangled ornaments
"
"4549","Isaiah 3","20","tablets: Heb. houses of the soul
"
"4550","Isaiah 3","25","mighty: Heb. might
"
"4551","Isaiah 3","26","desolate: Or, emptied, Heb. cleansed
"
"4552","Isaiah 4","1","let us be called by thy name: Heb. let thy name be called upon us
"
"4553","Isaiah 4","1","to take away: Or, take thou away
"
"4554","Isaiah 4","2","beautiful and glorious: Heb. beauty and glory
"
"4555","Isaiah 4","2","for them that are escaped of Israel: Heb. for the escaping of Israel
"
"4556","Isaiah 4","3","among: Or, to life
"
"4557","Isaiah 4","5","upon: Or, above
"
"4558","Isaiah 4","5","a defense: Heb. a covering
"
"4559","Isaiah 5","2","very fruitful hill: Heb. the horn of the son of oil
"
"4560","Isaiah 5","2","fenced it: Or, made a wall about it
"
"4561","Isaiah 5","2","made: Heb. hewed
"
"4562","Isaiah 5","5","trodden: Heb. for a tredding
"
"4563","Isaiah 5","7","his pleasant plant: Heb. plant of his pleasures
"
"4564","Isaiah 5","7","oppression: Heb. a scab
"
"4565","Isaiah 5","9","in mine ears said the LORD: Or, this is in mine ears saith the LORD, etc.
"
"4566","Isaiah 5","9","of a truth: Heb. if not, etc.
"
"4567","Isaiah 5","11","inflame them: Or, pursue them
"
"4568","Isaiah 5","13","their honourable men are famished: Heb. their glory are men of famine
"
"4569","Isaiah 5","16","God that is holy: Or, the holy God, Heb. The God the holy
"
"4570","Isaiah 5","20","that call evil good: Heb. that say concerning evil, It is good, etc.
"
"4571","Isaiah 5","21","in their own sight: before their face
"
"4572","Isaiah 5","24","the fire: Heb. the tongue of fire
"
"4573","Isaiah 5","25","torn: or as dung
"
"4574","Isaiah 5","30","sorrow: Or, distress
"
"4575","Isaiah 5","30","and the light is darkened in the heavens thereof: Or, when it is light it shall be dark in the destructions thereof
"
"4576","Isaiah 6","1","train: Or, the skirts thereof
"
"4577","Isaiah 6","3","one cried unto another: Heb. this cried to this
"
"4578","Isaiah 6","3","the whole earth if full of his glory
"
"4579","Isaiah 6","4","door: Heb. thresholds
"
"4580","Isaiah 6","5","undone: Heb. cut off
"
"4581","Isaiah 6","6","having a live coal: Heb. and in his hand a live coal
"
"4582","Isaiah 6","7","he laid it: Heb. caused it to touch
"
"4583","Isaiah 6","8","Here am I: Heb. behold me
"
"4584","Isaiah 6","9","indeed, but understand not: Or, without ceasing, etc. Heb. hear ye in hearing, etc.
"
"4585","Isaiah 6","11","utterly desolate: Heb. desolate with desolation
"
"4586","Isaiah 6","13","and it shall return, and shall be eaten: Or, when it is returned and hath been bruised
"
"4587","Isaiah 6","13","substance: Or, stock, or stem
"
"4588","Isaiah 7","2","confederate with Ephraim: Heb. resteth on Ephraim
"
"4589","Isaiah 7","3","Shearjashub: that is, The remnant shall return
"
"4590","Isaiah 7","3","in the highway: Or, causeway
"
"4591","Isaiah 7","4","neither be fainthearted: Heb. let not thine heart be tender
"
"4592","Isaiah 7","6","vex: Or, waken
"
"4593","Isaiah 7","8","that it be not a people: Heb. from a people
"
"4594","Isaiah 7","9","if ye will not believe, surely ye shall not be established: Or, do ye not believe? it is because ye are not stable
"
"4595","Isaiah 7","10","moreover the LORD spake: Heb. and the Lord added to speak
"
"4596","Isaiah 7","11","ask it either in the depth: Or, make thy petion deep
"
"4597","Isaiah 7","14","a virgin…shall call: Or, thou, O virgin, shalt call
"
"4598","Isaiah 7","19","bushes: Or, commendable trees
"
"4599","Isaiah 7","22","in the land: Heb. in the midst of the land
"
"4600","Isaiah 8","1","Mahershalalhashbaz: Heb. In making speed to the spoil he hasteneth the prey. Or, make speed, etc
"
"4601","Isaiah 8","3","went unto: Heb. approached unto
"
"4602","Isaiah 8","4","the riches of Damascus, and the spoil of Samaria shall be taken away before the king of Assyria: Or, He that is before the King of Assyria shall take away the riches etc.
"
"4603","Isaiah 8","8","the stretching out of his wings shall fill the breadth of thy land: Heb. the fullness of the breadth of thy land shall be the stretching out of his wings
"
"4604","Isaiah 8","9","and ye: Or, yet
"
"4605","Isaiah 8","11","with a strong hand: Heb. in strength of hand
"
"4606","Isaiah 8","20","no light: Heb. no morning
"
"4607","Isaiah 9","1","of the nations: Or, populous
"
"4608","Isaiah 9","11","join: Heb. mingle
"
"4609","Isaiah 9","16","the leaders: Or, they that call them blessed
"
"4610","Isaiah 9","17","folly: Or, villany
"
"4611","Isaiah 9","19","fuel: Heb. meat
"
"4612","Isaiah 9","20","snatch: Heb cut
"
"4613","Isaiah 10","1","that write grivousness: Or, to the writers that write grievousness
"
"4614","Isaiah 10","5","O Assyrian: Or, woe to the Assyrian: Heb. Asshur
"
"4615","Isaiah 10","5","Assyrian: Heb. Ashur
"
"4616","Isaiah 10","5","and the: Or, though
"
"4617","Isaiah 10","6","to tread them down: Heb. to lay them a treading
"
"4618","Isaiah 10","12","punish: Heb. visit upon
"
"4619","Isaiah 10","12","of the stout heart: Heb. of the greatness of the heart
"
"4620","Isaiah 10","13","like a valiant man: Or, like many people
"
"4621","Isaiah 10","15","as if the rod should shake itself against them: Or, as if a rod should shake them that lift it up
"
"4622","Isaiah 10","15","itself, as if it were no wood: Or, that which is not wood
"
"4623","Isaiah 10","18","both soul and body: Heb. from the soul and even to the flesh
"
"4624","Isaiah 10","19","few: Heb. number
"
"4625","Isaiah 10","22","of them: Heb. in or amongst
"
"4626","Isaiah 10","22","with: Or, in
"
"4627","Isaiah 10","24","and shall lift up his staff against thee: Or, but he shall lift up his staff for thee
"
"4628","Isaiah 10","27","shall be taken away: Heb. shall remove
"
"4629","Isaiah 10","30","lift up thy voice: Heb. cry shrill with thy voice
"
"4630","Isaiah 10","34","by a mighty one: Or, mightily
"
"4631","Isaiah 11","3","quick: Heb. sent or smell
"
"4632","Isaiah 11","4","reprove: Or, argue
"
"4633","Isaiah 11","8","cockatrice: Or, adders
"
"4634","Isaiah 11","10","glorious: Heb. glory
"
"4635","Isaiah 11","12","corners: Heb. wings
"
"4636","Isaiah 11","14","them of the East: Heb. the children of the East
"
"4637","Isaiah 11","14","they shall lay their hand upon Edom and Moab: Heb. Edom and Moab shall be the laying on of their hand
"
"4638","Isaiah 11","14","and the children of Ammon shall obey them: Heb. the children of Ammon their obedience
"
"4639","Isaiah 11","15","dryshod: Heb. in shoes
"
"4640","Isaiah 12","4","call upon his name: Or, proclaim his name
"
"4641","Isaiah 12","6","inhabitant: Heb. inhabitress
"
"4642","Isaiah 13","4","like as of: Heb. the likeness of
"
"4643","Isaiah 13","7","be faint: Or, fall down
"
"4644","Isaiah 13","8","amazed: Heb. wonder
"
"4645","Isaiah 13","8","one at another: Heb. every man at his neighbor
"
"4646","Isaiah 13","8","flames: Heb. faces of the flames
"
"4647","Isaiah 13","19","as when…overthrew: Heb. as the overthrowing
"
"4648","Isaiah 13","21","wild beasts: Heb. ziim
"
"4649","Isaiah 13","21","dolefull creatures: Heb. Ochim
"
"4650","Isaiah 13","21","owels: Or, ostriches
"
"4651","Isaiah 13","21"," Heb. daughters of the owle
"
"4652","Isaiah 13","22","beasts of the Islands: Heb. Zim
"
"4653","Isaiah 13","22","desolate: Or, palaces
"
"4654","Isaiah 14","2","whose captives they were: Heb. that had taken them captives
"
"4655","Isaiah 14","4","proverb: Or, Taunting speech
"
"4656","Isaiah 14","4","golden city ceased?: Or, exactresse of gold
"
"4657","Isaiah 14","6","a continual stroke: Heb. a stroke without removing
"
"4658","Isaiah 14","9","Hell: Or, the grave
"
"4659","Isaiah 14","9","chief ones: Heb. leaders, or great goats
"
"4660","Isaiah 14","12","O Lucifer: Or, O day star
"
"4661","Isaiah 14","17","that opened not the house of his prisoners? : Or, did not let his prisoners loose homeward
"
"4662","Isaiah 14","29","cockatrice: Or, adder
"
"4663","Isaiah 14","31","none shall be alone: Or, he shall not be alone
"
"4664","Isaiah 14","31","appointed: Or, assemblies
"
"4665","Isaiah 14","32","trust in it: Or, betake themselves unto it
"
"4666","Isaiah 15","1","brought to silence: Or, cut off
"
"4667","Isaiah 15","3","weeping abundantly: Heb. descending into weeping, or, coming down with weeping
"
"4668","Isaiah 15","5","his fugitives shall flee unto Zoar, an heifer: Or, to the borders thereof even to Zoar as an heifer
"
"4669","Isaiah 15","5","destruction: Heb. breaking
"
"4670","Isaiah 15","6","desolate: Heb. desolations
"
"4671","Isaiah 15","7","brook of the willows: Or, valley of the Arabians
"
"4672","Isaiah 15","9","more: Heb. additions
"
"4673","Isaiah 16","1","Sela: Or, Petra, Heb. a rock
"
"4674","Isaiah 16","2","cast out of the nest: Or, a nest forsaken
"
"4675","Isaiah 16","3","Take: Heb. bring
"
"4676","Isaiah 16","4","extortioner: Heb. wringer
"
"4677","Isaiah 16","4","the oppressors: Heb. the treaders down
"
"4678","Isaiah 16","5","established: Or, prepared
"
"4679","Isaiah 16","7","mourn: Or, mutter
"
"4680","Isaiah 16","8","stretched out: Or, plucked up
"
"4681","Isaiah 16","9","the shouting for: Or, the alarm is fallen upon, etc.
"
"4682","Isaiah 16","14","feeble: Or, not many
"
"4683","Isaiah 17","8","images: Or, sun images
"
"4684","Isaiah 17","11","heap in the day of grief, and of desperate sorrow: Or, removed in the day of inheritance, and there shall be deadly sorrow
"
"4685","Isaiah 17","12","multitude: Or, noise
"
"4686","Isaiah 17","12","mighty: Or, many
"
"4687","Isaiah 17","13","rolling: Or, thistledown
"
"4688","Isaiah 18","2","scattered and peeled: Or, outspread and polished
"
"4689","Isaiah 18","2","a nation meted out and trodden down: Or, a nation that meteth out, and treadeth down. Heb. a nation of line line, and treading under foot
"
"4690","Isaiah 18","2","whose land the rivers have spoiled: Or, whose land the rivers despise
"
"4691","Isaiah 18","4","consider in my dwelling place: Or, regard my set dwelling
"
"4692","Isaiah 18","4","upon herbs: Or, after rain
"
"4693","Isaiah 18","7","scattered and peeled: Or, outspread and polished. etc.
"
"4694","Isaiah 19","2","set: Heb. mingle
"
"4695","Isaiah 19","3","shall fail: Heb. shall be emptied
"
"4696","Isaiah 19","3","destroy: Heb. swallow up
"
"4697","Isaiah 19","4","give over: Or, shut up
"
"4698","Isaiah 19","7","and be no more: Heb. and shall not be
"
"4699","Isaiah 19","9","networks: Or, white works
"
"4700","Isaiah 19","10","purposes: Heb. foundations
"
"4701","Isaiah 19","10","for fish: Heb. of living things
"
"4702","Isaiah 19","13","they that are the stay: Or, governors. Heb. corners
"
"4703","Isaiah 19","14","a perverse spirit: Heb. a spirit of perversities
"
"4704","Isaiah 19","18","the language: Heb. the lip
"
"4705","Isaiah 19","18","of destruction: Or, of Heres, or of the sun
"
"4706","Isaiah 20","2","by Isaiah: Heb. by the hand of Isaiah
"
"4707","Isaiah 20","4","the Egyptians…: Heb. the captivity of Egypt
"
"4708","Isaiah 20","4","shame: Heb. nakedness
"
"4709","Isaiah 20","6","isle: Or, country
"
"4710","Isaiah 21","2","grievous: Heb. hard
"
"4711","Isaiah 21","4","my heart panted: Or, my mind wandered
"
"4712","Isaiah 21","4","turned: Heb. put
"
"4713","Isaiah 21","8","He cried, a lion: Or, cried as a lion
"
"4714","Isaiah 21","8","whole nights: Or, every night
"
"4715","Isaiah 21","10","corn: Heb. son
"
"4716","Isaiah 21","14","brought: Or, bring ye
"
"4717","Isaiah 21","15","from the drawn sword: Or, for fear. Heb. from the face
"
"4718","Isaiah 21","17","archers: Heb. bows
"
"4719","Isaiah 22","3","by the archers: Heb. of the bow
"
"4720","Isaiah 22","4","I will weep bitterly: Heb. I will be bitter in weeping
"
"4721","Isaiah 22","6","uncovered: Heb. made naked
"
"4722","Isaiah 22","7","choicest valleys: Heb. the choice of the valleys
"
"4723","Isaiah 22","7","at the gate: Or, towards
"
"4724","Isaiah 22","16","as he: Or, O he
"
"4725","Isaiah 22","17","the LORD will carry thee away with: Or, the Lord who covered thee with an excellent covering, and clothed thee gorgeously, v. 18. shall surely, etc.
"
"4726","Isaiah 22","17","the mighty captive: Heb. the captivity of a man
"
"4727","Isaiah 22","18","large: Heb. large of spaces
"
"4728","Isaiah 22","24","vessels of flagons: Or, instruments of viols
"
"4729","Isaiah 23","2","still: Heb. silent
"
"4730","Isaiah 23","7","afar off: Heb. from afar off
"
"4731","Isaiah 23","9","to stain: Heb. to pollute
"
"4732","Isaiah 23","10","strength: Heb. girdle
"
"4733","Isaiah 23","11","against the merchant city: Or, concerning a merchant man
"
"4734","Isaiah 23","11","strong holds: Or, strengths
"
"4735","Isaiah 23","15","shall Tyre sing as an harlot: Heb. it shall be unto Tyre as the song of an harlot
"
"4736","Isaiah 23","18","durable: Heb. old
"
"4737","Isaiah 24","1","turneth it upside down: Heb. perverteth the face thereof
"
"4738","Isaiah 24","2","priest: Or, Prince
"
"4739","Isaiah 24","4","the haughty people: Heb. the height of the people
"
"4740","Isaiah 24","15","fires: Or, valleys
"
"4741","Isaiah 24","16","uttermost: Heb. wing
"
"4742","Isaiah 24","16","My leanness, my leanness, woe unto me: Heb. leanness to me or my secret to me
"
"4743","Isaiah 24","21","punish: Heb. visit upon
"
"4744","Isaiah 24","22","as prisoners: Heb. with the gathering of prisoners
"
"4745","Isaiah 24","22","pit: Or, dungeon
"
"4746","Isaiah 24","22","visited: Or, found wanting
"
"4747","Isaiah 24","23","before his ancients gloriously: Or, there shall be glory before his ancients
"
"4748","Isaiah 25","7","destroy: Heb. swallow up
"
"4749","Isaiah 25","7","cast over: Heb. covered
"
"4750","Isaiah 25","10","troden down: Or, threshed
"
"4751","Isaiah 25","10","troden down for the dunghill: Or, threshed in Madmenah
"
"4752","Isaiah 26","2","truth: Heb. truths
"
"4753","Isaiah 26","3","perfect peace: Heb. peace, peace
"
"4754","Isaiah 26","3","mind: Or, thought, or imagination
"
"4755","Isaiah 26","4","everlasting strength: Heb. the rock of ages
"
"4756","Isaiah 26","11","at the people: Or, towards thy people
"
"4757","Isaiah 26","12","in us: Or, for us
"
"4758","Isaiah 26","16","prayer: Heb. secret speech
"
"4759","Isaiah 26","21","blood: Heb. bloods
"
"4760","Isaiah 27","1","piercing: Or, crossing like a bar
"
"4761","Isaiah 27","4","go through: Or, march against
"
"4762","Isaiah 27","7","as he smote those: Heb. according to the stroke of those
"
"4763","Isaiah 27","8","when it shootest forth: Or, when thou sendest it forth
"
"4764","Isaiah 27","8","he stayeth: Or, when he removeth it
"
"4765","Isaiah 27","9","images: Or, sun images
"
"4766","Isaiah 28","1","overcome: Heb. broken
"
"4767","Isaiah 28","3","under feet: Heb. with feet
"
"4768","Isaiah 28","4","eateth it up: Heb. swalloweth
"
"4769","Isaiah 28","9","doctrine?: Heb. the hearing
"
"4770","Isaiah 28","10","must be: Or, hath been
"
"4771","Isaiah 28","11","stammering lips: Heb. stammerings of lip
"
"4772","Isaiah 28","11","will he speak: Or, he hath spoken
"
"4773","Isaiah 28","18","trodden down by it: Heb. a treading down to it
"
"4774","Isaiah 28","19","to understand the report: Or, when he shall make you to understand doctrine
"
"4775","Isaiah 28","25","the principal wheat: Or, the wheat in the principal place, and barley in the appointed place
"
"4776","Isaiah 28","25","rye: Or, spelt
"
"4777","Isaiah 28","25","place?: Heb. border
"
"4778","Isaiah 28","26","For his God doth instruct him to discretion: Or, and he bindeth it in such sort as God doth teach him
"
"4779","Isaiah 29","1","Woe to Arial, to Ariel the city: Or, oh Ariel, that is the lion of God. Or, of the city
"
"4780","Isaiah 29","1","kill: Heb. out of the heads
"
"4781","Isaiah 29","4","whisper: Heb. peep or chirp
"
"4782","Isaiah 29","9","cry ye out, and cry: Or, take your pleasure and riot
"
"4783","Isaiah 29","10","rulers: Heb. heads
"
"4784","Isaiah 29","11","book: Or, letter
"
"4785","Isaiah 29","14","I will proceed: Heb. I will add
"
